,dateRep,cases,deaths,countriesAndTerritories,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,Cum_Cases,Cum_Deaths,flag,driving,transit,walking,DIY,Cafe,online_lesson,Bar,Home_Workout,Sewing,Restaurant,deaths18
98,2020-01-20,0,0,Europe,67012883.0,Europe,0.0,0,0,0.0,94.67,97.27,86.45,46.015088963081915,67.0,23.532374607742067,55.0,0.0,40.179410939392234,43.0,0.0
99,2020-01-20,0,0,Europe,46937060.0,Europe,0.0,0,0,0.0,101.95,103.87,91.8,53.052442338818395,91.81823582252973,26.913996008321533,72.22793474044947,5.697733228188886,51.326120453795774,58.234877043351446,0.0
100,2020-01-20,0,0,Europe,17282163.0,Europe,0.0,0,0,0.0,101.94,100.32,101.92,50.32362868281925,68.33511317614487,4.596139166182279,93.59236102581349,5.2330362842861895,58.06537969534578,73.9986460304596,0.0
101,2020-01-20,0,0,Rest_of_World,211049519.0,America,0.0,0,0,0.0,97.54,100.37,97.33,73.22324319992926,71.66346837509349,12.116106884667026,84.80613977960434,23.73250754782156,42.28053513708939,81.03576599048446,0.0
102,2020-01-20,0,0,Europe,83019213.0,Europe,0.0,0,0,0.0,100.54,99.42,99.26,56.87778877909844,60.0,2.610547440680571,34.0,5.0,10.471189651226027,53.0,0.0
103,2020-01-20,0,0,Rest_of_World,270625567.0,Asia,0.0,0,0,0.0,103.62,63.98235564853551,103.86,62.40322125370355,65.1368640496857,34.469309910497536,54.20805449883818,13.79756442821186,50.871478093273836,81.53183497170166,0.0
104,2020-01-20,0,0,Rest_of_World,127575529.0,America,0.0,0,0,0.0,99.86,99.28,100.97,57.176650140670155,86.79116632333857,12.639802240629217,92.67511552512079,10.446041049805778,73.30046258426223,74.18195186295627,0.0
105,2020-01-20,0,0,Rest_of_World,329064917.0,America,0.0,0,0,0.0,102.57,92.39,94.79,47.45112631087508,87.64068112678353,24.12221838720237,92.03386988187877,16.14469139193386,25.993244428188437,91.7387013304716,0.0
106,2020-01-20,0,0,Rest_of_World,145872260.0,Europe,0.0,0,0,0.0,102.88,63.98235564853551,104.61,76.10455909843866,83.46771278827048,54.37789751407876,67.9157780872417,5.032865399198122,50.26950246749914,73.61658752561337,0.0
107,2020-01-20,0,0,Rest_of_World,1366417756.0,Asia,0.0,0,0,0.0,106.83,63.98235564853551,107.91,53.79885683547716,76.37317784868512,22.683575195585053,58.75635047578219,12.892670701280304,55.85773251610054,70.78310330023928,0.0
